"","stfips","year","_nfd","post","asmrs","pcinc","asmrh","cases","weight","copop","treat","time_to_treat"
"1",1,1964,1971,0,35.6398849487305,12406.1785366264,5.00734090805054,0.0123122425630723,1715156,1715155.99684525,1,-7
"2",1,1965,1971,0,41.5437545776367,13070.2067381686,4.42536735534668,0.0104194065561726,1715156,1725186.22531509,1,-6
"3",1,1966,1971,0,34.2523345947266,13526.6632166725,4.87481880187988,0.00990009709036209,1715156,1735218.67276001,1,-5
"4",1,1967,1971,0,34.4650230407715,13918.1898227262,5.36201429367065,0.00997469195199777,1715156,1745250.22097015,1,-4
"5",1,1968,1971,0,40.4401054382324,14684.8086823255,4.64375925064087,0.0124006586041361,1715156,1755283.1153183,1,-3
"6",1,1969,1971,0,42.490119934082,15638.8762703989,5.29697561264038,0.0150067561086325,1715156,1765316,1,-2
"7",1,1970,1971,0,44.2390747070312,16222.9483760879,4.71693897247314,0.0197031418165569,1715156,1787363,1,-1
"8",1,1971,1971,1,49.914665222168,16875.429944318,4.99250364303589,0.022737450987761,1715156,1809412,1,0
"9",1,1972,1971,1,47.2031326293945,17976.7551171733,5.18702268600464,0.0235559807797221,1715156,1831191,1,1
"10",1,1973,1971,1,41.033073425293,18808.2465559014,5.08554601669312,0.0250315253296042,1715156,1853536,1,2
"11",1,1974,1971,1,46.2028121948242,18726.0440057895,5.32088899612427,0.0243360186699903,1715156,1879094,1,3
"12",1,1975,1971,1,39.2401657104492,19007.4699352005,5.50913858413696,0.0268781372903596,1715156,1907830,1,4
"13",1,1976,1971,1,48.3919105529785,19851.2004770093,6.27565431594849,0.0273226834731119,1715156,1938304,1,5
"14",1,1977,1971,1,40.5194473266602,20306.1068914712,5.92436504364014,0.0285630721773349,1715156,1962569,1,6
"15",1,1978,1971,1,33.8583145141602,21214.7315462861,4.30136585235596,0.0293526663130514,1715156,1990864,1,7
"16",1,1979,1971,1,36.3462753295898,21322.0998229841,4.90783596038818,0.0302799180944335,1715156,2009957,1,8
"17",1,1980,1971,1,32.3029365539551,20977.4350374074,6.82115793228149,0.0311779586094851,1715156,2025456,1,9
"18",1,1981,1971,1,42.3346900939941,21173.2001551427,4.53911924362183,0.0293714646050425,1715156,2036194,1,10
"19",1,1982,1971,1,37.6497116088867,21060.7149743698,4.5884313583374,0.0268405297424525,1715156,2041319,1,11
"20",1,1983,1971,1,41.4257507324219,21586.7747364237,4.41269063949585,0.0268857582026495,1715156,2045203,1,12
"21",1,1984,1971,1,44.1710205078125,22701.9385748466,4.51216554641724,0.0265617157720121,1715156,2054834,1,13
"22",1,1985,1971,1,39.9685363769531,23520.066898395,4.72227001190186,0.0250020521807061,1715156,2066907,1,14
"23",1,1986,1971,1,43.8179473876953,24343.5598867323,4.01605129241943,0.0237620567527847,1715156,2076879,1,15
"24",1,1987,1971,1,42.0437431335449,24777.5797017697,4.83290338516235,0.0223498300866319,1715156,2089300,1,16
"25",1,1988,1971,1,44.6541175842285,25658.8587797851,4.99950647354126,0.0215864961775252,1715156,2093975,1,17
"26",1,1989,1971,1,41.6668853759766,26735.5963562372,5.2763786315918,0.0213948730317313,1715156,2097952,1,18
"27",1,1990,1971,1,40.9520301818848,26925.4593501845,5.45816516876221,0.0216022974273794,1715156,2109548,1,19
"28",1,1991,1971,1,39.2388343811035,27108.9928577848,6.55453968048096,0.0226831016766896,1715156,2134265,1,20
"29",1,1992,1971,1,37.8740730285645,28096.8132459687,4.82599306106567,0.023619105714198,1715156,2160659,1,21
"30",1,1993,1971,1,43.1239738464355,28268.878889737,5.86399936676025,0.0235231552653122,1715156,2190193,1,22
"31",1,1994,1971,1,46.0425033569336,28996.3121019234,5.00670576095581,0.0224034254665935,1715156,2212954,1,23
"32",1,1995,1971,1,33.5985221862793,29685.6748607214,5.12321805953979,0.0201278011133841,1715156,2230497,1,24
"33",1,1996,1971,1,40.4101715087891,29922.2727755957,4.7924222946167,0.0183793879527458,1715156,2247223,1,25
"34",4,1964,1973,0,73.5287170410156,15551.3159376348,3.08321833610535,0.0128826519670257,744813,744813.000555038,1,-9
"35",4,1965,1973,0,82.4311981201172,15962.6892604774,3.00586771965027,0.0122251073489541,744813,769209.332748413,1,-8
"36",4,1966,1973,0,59.2553634643555,16581.2701018243,5.07428979873657,0.0121804928036038,744813,793605.000705719,1,-7
"37",4,1967,1973,0,81.4934158325195,17214.6032017929,3.83689785003662,0.0123268033602329,744813,818000.663972855,1,-6
"38",4,1968,1973,0,72.9367370605469,18610.3933655141,5.39438486099243,0.0121775713146984,744813,842395.668909073,1,-5
"39",4,1969,1973,0,81.3118667602539,20097.6432579976,3.62665605545044,0.0127000424937077,744813,866795,1,-4
"40",4,1970,1973,0,61.6801071166992,21109.887281832,3.95233488082886,0.0153421210961002,744813,914150,1,-3
"41",4,1971,1973,0,103.906135559082,21886.9825588878,4.29833936691284,0.0179289239265526,744813,961505,1,-2
"42",4,1972,1973,0,101.922515869141,22979.0253149885,3.91248250007629,0.0184279922120799,744813,1017302,1,-1
"43",4,1973,1973,1,72.2534255981445,23596.8917016096,5.67248344421387,0.0185419424858186,744813,1075584,1,0
"44",4,1974,1973,1,87.0023651123047,23114.6324754127,4.76778554916382,0.018148025752776,744813,1125678,1,1
"45",4,1975,1973,1,80.8982391357422,22327.2810481431,4.64028263092041,0.0178349583845211,744813,1157502,1,2
"46",4,1976,1973,1,100.655670166016,22907.7716410294,4.02415037155151,0.0161217888627235,744813,1189441,1,3
"47",4,1977,1973,1,102.808044433594,23409.9615453986,5.76694679260254,0.0151082567326278,744813,1230624,1,4
"48",4,1978,1973,1,87.9033355712891,24924.8877938786,4.25505352020264,0.0135701418381963,744813,1277136,1,5
"49",4,1979,1973,1,80.5876083374023,25564.1158115468,3.99774169921875,0.0128799945636387,744813,1339131,1,6
"50",4,1980,1973,1,70.8812713623047,25534.172095729,5.14407348632812,0.0138328924816184,744813,1388978,1,7
"51",4,1981,1973,1,71.1596145629883,25957.7619750977,4.07734870910645,0.0159901484762363,744813,1426446,1,8
"52",4,1982,1973,1,81.3074417114258,25202.9449861437,4.15289354324341,0.0151155176943644,744813,1466644,1,9
"53",4,1983,1973,1,74.3181838989258,25846.2844895304,3.29868578910828,0.0164883724019741,744813,1505470,1,10
"54",4,1984,1973,1,59.3559989929199,27230.1220777727,3.98134613037109,0.0167664960756345,744813,1554986,1,11
"55",4,1985,1973,1,68.1872787475586,28145.9648509076,3.81770658493042,0.0157287117498054,744813,1613848,1,12
"56",4,1986,1973,1,81.5484466552734,29174.6941544252,4.31641006469727,0.0160573428153509,744813,1675874,1,13
"57",4,1987,1973,1,79.7855224609375,29366.2351516489,3.61381864547729,0.017107357591588,744813,1740411,1,14
"58",4,1988,1973,1,64.3405456542969,29673.9414858595,4.84736585617065,0.0185053297592365,744813,1789543,1,15
"59",4,1989,1973,1,60.6802024841309,29836.9040835937,4.7390079498291,0.020374089059989,744813,1832585,1,16
"60",4,1990,1973,1,56.3612823486328,29284.2045241253,3.67529034614563,0.0244409038269794,744813,1863454,1,17
"61",4,1991,1973,1,55.5072326660156,28869.3597619676,4.3727126121521,0.0290023866016202,744813,1915555,1,18
"62",4,1992,1973,1,53.6419906616211,29052.3453826077,4.05723762512207,0.0330839360196404,744813,1978503,1,19
"63",4,1993,1973,1,59.4574203491211,29398.3825177608,4.28967571258545,0.0346053710786822,744813,2052350,1,20
"64",4,1994,1973,1,57.4582977294922,30254.2234485908,3.97691059112549,0.0335897106459852,744813,2140400,1,21
"65",4,1995,1973,1,67.1983032226562,30785.2551168636,4.3484673500061,0.0304528998494516,744813,2231840,1,22
"66",4,1996,1973,1,50.8084678649902,31404.0350297117,3.4126935005188,0.0268083355224353,744813,2306882,1,23
"67",5,1964,NA,0,50.640495300293,11637.6542024991,3.44267082214355,0.0074772227421841,937959.6875,937959.664323807,0,0
"68",5,1965,NA,0,52.2078704833984,12103.9268625842,3.01611924171448,0.00778666361953679,937959.6875,945655.335813522,0,0
"69",5,1966,NA,0,38.3150444030762,13020.6475306473,2.46292042732239,0.00802965571217672,937959.6875,953340.999215126,0,0
"70",5,1967,NA,0,37.8125381469727,13419.8249584957,3.92911243438721,0.00917425887921396,937959.6875,961022.223456383,0,0
"71",5,1968,NA,0,33.5060882568359,13967.9125104324,3.07632279396057,0.00980687005247571,937959.6875,968708.665370941,0,0
"72",5,1969,NA,0,35.0929412841797,14831.2088011813,3.43204665184021,0.0105141056285285,937959.6875,976466,0,0
"73",5,1970,NA,0,46.1747589111328,15410.2177157374,4.02046728134155,0.0136492391574327,937959.6875,995782,0,0
"74",5,1971,NA,0,48.6435241699219,16086.5276154857,4.14740467071533,0.018397416574561,937959.6875,1015138,0,0
"75",5,1972,NA,0,56.250358581543,17225.6782376191,4.72469472885132,0.0209130212121066,937959.6875,1038165,0,0
"76",5,1973,NA,0,46.9589080810547,18803.6287688756,3.85405254364014,0.0233403642081265,937959.6875,1059138,0,0
"77",5,1974,NA,0,48.4068145751953,18717.6447934074,4.10836458206177,0.0260697953381377,937959.6875,1080970,0,0
